Act Date,Station ID,LatDeg,LatMin,LatSec,LongDeg,LongMin,LongSec,Chlorophyll-a (ug/L),DO(mg/l),Fecal Coliform (cfu/100ml),"Nitrogen, Kjeldahl (mg/L)",Nitrite (NO2) + Nitrate (NO3) as N,"Nitrogen, ammonia (NH3) as NH3 (mg/L)","Nitrogen, ammonia as N (mg/L)",Oxidation reduction potential (ORP) (mV),Phosphorus as P (mg/L),"Phosphorus, orthophosphate as P(mg/L)","Phosphorus, orthophosphate as PO4 (mg/L)","Phosphorus, phosphate (PO4) as P(mg/L)",Salinity(ppt),Secchi Depth(m),Specific conductance(umho/cm),"Temperature, air deg C",Temperature (deg cels),Turbidity(NTU),"Wind direction (direction from, expressed 0-360 deg)",Wind velocity,pH,ATemp_max,ATemp_max_1dlag,ATemp_max_2dlag,ATemp_max_3dlag,ATemp_max_4dlag,ATemp_max_5dlag,ATemp_max_6dlag,ATemp_max_7dlag
3/23/2015,330100A1,30,27,6.06,87,23,0.05,3.5,7.7,,0.45,0.11,,0.024,,0.008,0.004,,,3.3,1.6,14730,,23,2.5,,,7.3,,,,,,,,
5/24/2005,330100A1,30,27,6.06,87,23,0.05,31.3,9.02,1,0.62,0.017,*Non-detect,,,0.042,,,,2.54,,4780,,29,7,,,8.41,34.44444444,33.88888889,27.77777778,30,28.88888889,27.77777778,27.22222222,26.66666667
7/6/2015,330100A1,30,27,6.06,87,23,0.05,8.2,6,,0.39,0.084,,0.018,,0.016,*Non-detect,,,3.7,1.2,6820,,28.3,2.9,,,7.2,,,,,,,,
8/19/2015,330100A1,30,27,6.06,87,23,0.05,8.7,7.9,,0.44,0.15,,0.005,,0.018,0.004,,,4.3,1,7789,,29.5,2.3,,,7.8,,,,,,,,
9/21/2015,330100A1,30,27,6.06,87,23,0.05,13,4.1,,0.63,0.016,,0.005,,0.029,*Non-detect,,,19.9,0.9,31967,,28.6,4,,,7.9,,,,,,,,
10/29/2015,330100A1,30,27,6.06,87,23,0.05,2.7,5.4,,0.47,0.22,,0.054,,0.02,*Non-detect,,,6.8,0.6,11864,,23.6,4.8,,,7.1,,,,,,,,
9/13/2016,330100A4,30,27,30,87,22,12,23,3.5,41,0.26,1.1,,0.003,,*Non-detect,,,,16.6,,27194,,30.4,8.1,,,7.5,,,,,,,,
5/24/2005,330100A5,30,27,0,87,21,30,15.6,8.74,2,0.7,*Non-detect,*Non-detect,,,0.047,,,,1.39,,2700,,28.62,9,,,8.01,34.44444444,33.88888889,27.77777778,30,28.88888889,27.77777778,27.22222222,26.66666667
2/14/2012,330100A7,30,27,14.47,87,21,32.6,11,8.67,245,0.34,0.017,,*Non-detect,,0.023,,,,14.77,,24283,17.9,12.8,11,,,7.51,21.11111111,16.11111111,9.444444444,11.66666667,16.11111111,15,20,21.66666667
3/16/2016,330100A7,30,27,14.47,87,21,32.6,6.3,8.2,157,0.58,0.12,,0.014,,0.042,,,,0.5,,1094,,24,9.2,,,7.7,,,,,,,,
